Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Firefox 69.0,,,2019-10-14 11:21:03,2019-10-14 11:24:47,3m - 44.073s,INCOMPLETE
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Firefox 69.0,,,2019-10-14 11:21:03,2019-10-14 11:22:02,58.649s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-10-14 11:21:04,2019-10-14 11:21:15,11.633s,PASSED
navigateToUrl(url),Firefox 69.0,,,2019-10-14 11:21:15,2019-10-14 11:21:21,5.985s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Portal/button_Log in""))",Firefox 69.0,,,2019-10-14 11:21:21,2019-10-14 11:21:30,9.060s,PASSED
delay(3),Firefox 69.0,,,2019-10-14 11:21:30,2019-10-14 11:21:33,3.048s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Firefox 69.0,,,2019-10-14 11:21:33,2019-10-14 11:21:40,6.489s,PASSED
delay(2),Firefox 69.0,,,2019-10-14 11:21:40,2019-10-14 11:21:42,2.007s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Firefox 69.0,,,2019-10-14 11:21:42,2019-10-14 11:21:48,6.289s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Firefox 69.0,,,2019-10-14 11:21:48,2019-10-14 11:21:53,4.364s,PASSED
delay(5),Firefox 69.0,,,2019-10-14 11:21:53,2019-10-14 11:21:58,5.033s,PASSED
"verifyElementText(findTestObject(""GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Firefox 69.0,,,2019-10-14 11:21:58,2019-10-14 11:22:02,4.204s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Firefox 69.0,,,2019-10-14 11:22:02,2019-10-14 11:23:37,1m - 34.784s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Firefox 69.0,,,2019-10-14 11:22:02,2019-10-14 11:22:06,4.370s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Firefox 69.0,,,2019-10-14 11:22:06,2019-10-14 11:22:11,4.427s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Firefox 69.0,,,2019-10-14 11:22:11,2019-10-14 11:22:15,4.445s,PASSED
