Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,,,,2019-10-11 11:37:19,2019-10-11 11:37:24,4.670s,INCOMPLETE
,,,,,,,
Test Cases/Test Scenarios/Regression/Login/GSM Login,,,,2019-10-11 11:37:20,2019-10-11 11:37:22,2.001s,FAILED
"openBrowser("""")",,,,2019-10-11 11:37:21,2019-10-11 11:37:22,0.873s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Regression/Offers/Create Offer,,,,2019-10-11 11:37:22,2019-10-11 11:37:22,0.725s,FAILED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",,,,2019-10-11 11:37:22,2019-10-11 11:37:22,0.198s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Regression/Offers/Edit Offer,,,,2019-10-11 11:37:22,2019-10-11 11:37:23,0.453s,FAILED
"click(findTestObject(""Object Repository/Edit Offer/Page_Templates/a_Offers""))",,,,2019-10-11 11:37:23,2019-10-11 11:37:23,0.116s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Regression/Offers/Delete Offer,,,,2019-10-11 11:37:23,2019-10-11 11:37:23,0.424s,FAILED
"click(findTestObject(""Object Repository/Delete Offer/Page_Templates/a_Offers""))",,,,2019-10-11 11:37:23,2019-10-11 11:37:23,0.113s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Regression/Logout/GSM Logout,,,,2019-10-11 11:37:23,2019-10-11 11:37:24,0.438s,FAILED
"click(findTestObject(""GSM Logout/Page_Templates/a_Help_user-panel-dropdown-4""))",,,,2019-10-11 11:37:24,2019-10-11 11:37:24,0.111s,FAILED
