Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestRail1,Chrome 77.0.3865.120,,,2019-10-24 16:44:46,2019-10-24 16:45:51,1m - 4.459s,INCOMPLETE
,,,,,,,
Test Cases/TestRail/GSM Login,Chrome 77.0.3865.120,,,2019-10-24 16:44:47,2019-10-24 16:45:51,1m - 3.857s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-24 16:44:47,2019-10-24 16:44:59,11.287s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-24 16:44:59,2019-10-24 16:45:04,5.279s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2019-10-24 16:45:04,2019-10-24 16:45:10,6.184s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.120,,,2019-10-24 16:45:10,2019-10-24 16:45:19,9.061s,PASSED
delay(3),Chrome 77.0.3865.120,,,2019-10-24 16:45:19,2019-10-24 16:45:22,3.044s,PASSED
"setText(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 77.0.3865.120,,,2019-10-24 16:45:22,2019-10-24 16:45:29,6.547s,PASSED
delay(2),Chrome 77.0.3865.120,,,2019-10-24 16:45:29,2019-10-24 16:45:31,2.006s,PASSED
"setText(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 77.0.3865.120,,,2019-10-24 16:45:31,2019-10-24 16:45:37,6.426s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.120,,,2019-10-24 16:45:37,2019-10-24 16:45:41,4.228s,PASSED
delay(5),Chrome 77.0.3865.120,,,2019-10-24 16:45:42,2019-10-24 16:45:47,5.005s,PASSED
"verifyElementText(findTestObject(""UI Test Scenarios/Modules/GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 77.0.3865.120,,,2019-10-24 16:45:47,2019-10-24 16:45:51,4.205s,PASSED
