Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
R13,,,,2019-10-30 17:11:27,2019-10-30 17:11:38,11.694s,INCOMPLETE
,,,,,,,
Test Cases/API Requests/Sample Requests/Create User,,,,2019-10-30 17:11:27,2019-10-30 17:11:33,5.564s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Create User""))",,,,2019-10-30 17:11:28,2019-10-30 17:11:33,5.083s,PASSED
,,,,,,,
Test Cases/API Requests/Sample Requests/Update User,,,,2019-10-30 17:11:33,2019-10-30 17:11:35,1.804s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Update User""))",,,,2019-10-30 17:11:33,2019-10-30 17:11:35,1.479s,PASSED
,,,,,,,
Test Cases/API Requests/Sample Requests/Get Single User,,,,2019-10-30 17:11:35,2019-10-30 17:11:37,2.111s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Get Single User""))",,,,2019-10-30 17:11:35,2019-10-30 17:11:37,1.921s,PASSED
,,,,,,,
Test Cases/API Requests/Sample Requests/Delete User,,,,2019-10-30 17:11:37,2019-10-30 17:11:38,1.708s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Delete User""))",,,,2019-10-30 17:11:37,2019-10-30 17:11:38,1.492s,PASSED
