Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 77.0.3865.90,,,2019-10-14 11:35:47,2019-10-14 11:39:58,4m - 11.172s,INCOMPLETE
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 77.0.3865.90,,,2019-10-14 11:35:48,2019-10-14 11:37:07,1m - 19.084s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-14 11:35:49,2019-10-14 11:36:01,12.780s,PASSED
navigateToUrl(url),Chrome 77.0.3865.90,,,2019-10-14 11:36:01,2019-10-14 11:36:06,5.095s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,,2019-10-14 11:36:06,2019-10-14 11:36:13,6.168s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.90,,,2019-10-14 11:36:13,2019-10-14 11:36:30,17.716s,PASSED
delay(3),Chrome 77.0.3865.90,,,2019-10-14 11:36:30,2019-10-14 11:36:33,3.043s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 77.0.3865.90,,,2019-10-14 11:36:33,2019-10-14 11:36:40,6.627s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-10-14 11:36:40,2019-10-14 11:36:42,2.008s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 77.0.3865.90,,,2019-10-14 11:36:42,2019-10-14 11:36:48,6.418s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.90,,,2019-10-14 11:36:48,2019-10-14 11:36:53,4.237s,PASSED
delay(5),Chrome 77.0.3865.90,,,2019-10-14 11:36:53,2019-10-14 11:36:58,5.005s,PASSED
"verifyElementText(findTestObject(""GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 77.0.3865.90,,,2019-10-14 11:36:58,2019-10-14 11:37:07,9.266s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 77.0.3865.90,,,2019-10-14 11:37:07,2019-10-14 11:38:48,1m - 40.888s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 77.0.3865.90,,,2019-10-14 11:37:07,2019-10-14 11:37:12,4.224s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 77.0.3865.90,,,2019-10-14 11:37:12,2019-10-14 11:37:16,4.313s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 77.0.3865.90,,,2019-10-14 11:37:16,2019-10-14 11:37:20,4.226s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer Name_name""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-14 11:37:20,2019-10-14 11:37:29,8.829s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 77.0.3865.90,,,2019-10-14 11:37:29,2019-10-14 11:37:33,4.243s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Offer Description_description""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-14 11:37:33,2019-10-14 11:37:39,6.300s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), ""10/15/2019"")",Chrome 77.0.3865.90,,,2019-10-14 11:37:39,2019-10-14 11:37:46,6.584s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 77.0.3865.90,,,2019-10-14 11:37:46,2019-10-14 11:37:50,4.218s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_English (US)""))",Chrome 77.0.3865.90,,,2019-10-14 11:37:50,2019-10-14 11:37:55,4.296s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Next""))",Chrome 77.0.3865.90,,,2019-10-14 11:37:55,2019-10-14 11:37:59,4.260s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Title_title""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-14 11:37:59,2019-10-14 11:38:10,10.720s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Subtitle_subtitle""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-14 11:38:10,2019-10-14 11:38:16,6.324s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Body_body""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-14 11:38:16,2019-10-14 11:38:22,6.329s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer_offer""), ""123"")",Chrome 77.0.3865.90,,,2019-10-14 11:38:22,2019-10-14 11:38:29,6.435s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select_1""))",Chrome 77.0.3865.90,,,2019-10-14 11:38:29,2019-10-14 11:38:33,4.285s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_No Expiration Date""))",Chrome 77.0.3865.90,,,2019-10-14 11:38:33,2019-10-14 11:38:37,4.282s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Terms  Conditions_termsAndConditions""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-14 11:38:37,2019-10-14 11:38:44,6.375s,PASSED
