Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 77.0.3865.90,,,2019-10-11 18:24:21,2019-10-11 18:29:34,5m - 12.340s,INCOMPLETE
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 77.0.3865.90,,,2019-10-11 18:24:22,2019-10-11 18:25:36,1m - 13.837s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-11 18:24:23,2019-10-11 18:24:34,11.788s,PASSED
navigateToUrl(url),Chrome 77.0.3865.90,,,2019-10-11 18:24:34,2019-10-11 18:24:44,9.626s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.90,,,2019-10-11 18:24:44,2019-10-11 18:24:55,11.433s,PASSED
delay(3),Chrome 77.0.3865.90,,,2019-10-11 18:24:55,2019-10-11 18:24:58,3.053s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 77.0.3865.90,,,2019-10-11 18:24:58,2019-10-11 18:25:05,6.759s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-10-11 18:25:05,2019-10-11 18:25:07,2.005s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 77.0.3865.90,,,2019-10-11 18:25:07,2019-10-11 18:25:14,6.477s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.90,,,2019-10-11 18:25:14,2019-10-11 18:25:18,4.334s,PASSED
delay(5),Chrome 77.0.3865.90,,,2019-10-11 18:25:18,2019-10-11 18:25:23,5.009s,PASSED
"verifyElementText(findTestObject(""GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 77.0.3865.90,,,2019-10-11 18:25:23,2019-10-11 18:25:36,12.692s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 77.0.3865.90,,,2019-10-11 18:25:36,2019-10-11 18:28:23,2m - 47.388s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 77.0.3865.90,,,2019-10-11 18:25:36,2019-10-11 18:25:40,4.324s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 77.0.3865.90,,,2019-10-11 18:25:40,2019-10-11 18:25:45,4.329s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 77.0.3865.90,,,2019-10-11 18:25:45,2019-10-11 18:25:49,4.317s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer Name_name""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-11 18:25:49,2019-10-11 18:26:01,11.471s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 77.0.3865.90,,,2019-10-11 18:26:01,2019-10-11 18:26:05,4.362s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Offer Description_description""), ""a"")",Chrome 77.0.3865.90,,,2019-10-11 18:26:05,2019-10-11 18:26:11,6.389s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_a""), ""ab"")",Chrome 77.0.3865.90,,,2019-10-11 18:26:11,2019-10-11 18:26:18,6.299s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_ab""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-11 18:26:18,2019-10-11 18:26:24,6.357s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), ""10/15/2019"")",Chrome 77.0.3865.90,,,2019-10-11 18:26:24,2019-10-11 18:26:31,6.644s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 77.0.3865.90,,,2019-10-11 18:26:31,2019-10-11 18:26:35,4.304s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_English (US)""))",Chrome 77.0.3865.90,,,2019-10-11 18:26:35,2019-10-11 18:26:39,4.298s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Next""))",Chrome 77.0.3865.90,,,2019-10-11 18:26:39,2019-10-11 18:26:44,4.344s,PASSED
